INSTNM,CITY,STABBR,PREDDEG,ADDR
Los Medanos College,Pittsburg,CA,2,"2700 East Leland Road"
Loyola Marymount University,Los Angeles,CA,3,"One Lmu Drive"
Lu Ross Academy,Ventura,CA,1,"470 East Thompson Blvd"
Lyle's College of Beauty,Bakersfield,CA,1,"2935 F St"
Lyle's College of  Beauty,Fresno,CA,1,"6735 N First Ave Ste 112"
Lytles Redwood Empire Beauty College,Santa Rosa,CA,1,"186 Wikiup Dr"
MTI College,Sacramento,CA,1,"5221 Madison Avenue"
College of Marin,Kentfield,CA,2,"835 College Ave"
Marymount California University,Rancho Palos Verdes,CA,3,"30800 Palos Verdes Drive East"
Mendocino College,Ukiah,CA,2,"1000 Hensley Creek Road"
Menlo College,Atherton,CA,3,"1000 El Camino Real"
Merced College,Merced,CA,2,"3600 M St"
Merritt College,Oakland,CA,1,"12500 Campus Dr"
Mills College at Northeastern University,Oakland,CA,3,"5000 MacArthur Blvd"
MiraCosta College,Oceanside,CA,2,"One Barnard Drive"
Mission College,Santa Clara,CA,2,"3000 Mission College Blvd"
Modern Beauty Academy,Oxnard,CA,1,"699 South C St"
Modesto Junior College,Modesto,CA,2,"435 College Ave"
Moler Barber College,Oakland,CA,1,"3815 Telegraph Ave"
Middlebury Institute of International Studies at Monterey,Monterey,CA,3,"460 Pierce Street"
Monterey Peninsula College,Monterey,CA,2,"980 Fremont St"
Moorpark College,Moorpark,CA,2,"7075 Campus Rd"
Mt San Antonio College,Walnut,CA,2,"1100 N Grand Ave"
Mount Saint Mary's University,Los Angeles,CA,3,"12001 Chalon Rd"
Mt San Jacinto Community College District,San Jacinto,CA,2,"1499 N. State St."
Musicians Institute,Hollywood,CA,1,"6752 Hollywood Blvd."
Napa Valley College,Napa,CA,2,"2277 Napa-Vallejo Hwy"
National Holistic Institute,Emeryville,CA,1,"5900 Doyle Street"
National University,San Diego,CA,3,"9388 Lightwave Ave"
Naval Postgraduate School,Monterey,CA,4,"1 University Circle"
Newschool of Architecture and Design,San Diego,CA,3,"1249 F St"
North Adrian's College of Beauty Inc,Modesto,CA,1,"124 Floyd Ave"
North-West College-Pomona,Pomona,CA,1,"170  W Holt Ave"
North-West College-West Covina,West Covina,CA,1,"2101 W Garvey Ave"
North-West College-Van Nuys,Van Nuys,CA,1,"14540 Haynes"
San Francisco Bay University,Fremont,CA,3,"161 Mission Falls Lane"
Notre Dame de Namur University,Belmont,CA,3,"1500 Ralston Ave"
Occidental College,Los Angeles,CA,3,"1600 Campus Rd"
Ohlone College,Fremont,CA,2,"43600 Mission Blvd"
Orange Coast College,Costa Mesa,CA,1,"2701 Fairview Road"
Otis College of Art and Design,Los Angeles,CA,3,"9045 Lincoln Blvd"
Oxnard College,Oxnard,CA,2,"4000 S Rose Ave"
Hope International University,Fullerton,CA,3,"2500 E Nutwood Ave"
Concorde Career College-San Diego,San Diego,CA,1,"4393 Imperial Avenue, Suite 100"
Palo Alto University,Palo Alto,CA,3,"1791 Arastradero Rd"
Pacific Oaks College,Pasadena,CA,3,"45 W Eureka Street"
Pacific School of Religion,Berkeley,CA,4,"1798 Scenic Ave"
Pacific States University,Los Angeles,CA,3,"3424 Wilshire Blvd. 12th floor"
Pacific Union College,Angwin,CA,3,"One Angwin Ave"
University of the Pacific,Stockton,CA,3,"3601 Pacific Ave"
Palo Verde College,Blythe,CA,2,"One College Drive"
Palomar College,San Marcos,CA,2,"1140 W. Mission Road"
Pasadena City College,Pasadena,CA,2,"1570 E Colorado Blvd."
Pepperdine University,Malibu,CA,3,"24255 Pacific Coast Hwy"
Pitzer College,Claremont,CA,3,"1050 North Mills Avenue"
Platt College-San Diego,San Diego,CA,3,"6250 El Cajon Blvd"
Point Loma Nazarene University,San Diego,CA,3,"3900 Lomaland Dr"
Pomona College,Claremont,CA,3,"550 N College Ave"
Porterville College,Porterville,CA,2,"100 E College Ave"
Professional Institute of Beauty,El Monte,CA,1,"10801 E. Valley Mall"
Santa Ana College,Santa Ana,CA,1,"1530 W. 17th Street"
Pardee RAND Graduate School,Santa Monica,CA,4,"1776 Main St"
Shasta School of Cosmetology,Redding,CA,1,"678 N Market St"
